"Astro_1vAll","Astro_pw","Endo.Mural_1vAll","Endo.Mural_pw","Excit_A_1vAll","Excit_A_pw","Excit_B_1vAll","Excit_B_pw","Excit_C_1vAll","Excit_C_pw","Excit_D_1vAll","Excit_D_pw","Excit_E_1vAll","Excit_E_pw","Excit_F_1vAll","Excit_F_pw","Inhib_A_1vAll","Inhib_A_pw","Inhib_B_1vAll","Inhib_B_pw","Inhib_C_1vAll","Inhib_C_pw","Inhib_D_1vAll","Inhib_D_pw","Inhib_E_1vAll","Inhib_E_pw","Inhib_F_1vAll","Inhib_F_pw","Micro_1vAll","Micro_pw","Neuron.5HT_1vAll","Neuron.5HT_pw","Neuron.NE_1vAll","Neuron.NE_pw","Oligo_1vAll","Oligo_pw","OPC_1vAll","OPC_pw"
"SLC1A2","CLU","GBP4","RGS5","EBF2","CLMP","EBF2","","ZNF385B","AC093765.2","GLIS1","","KCNN2","","LINC02306","AC011287.1","SV2C","","SERTM1","MRPL34","NPPC","SYNPR","GPR39","","GRIA1","","RBM20","","TLR2","TLR2","PWWP3B","GPC3","CHGB","AC005355.1","FOLH1","PIEZO2","STK32B","RAB3IP"
"SLC25A18","AHCYL1","VIM","GBP4","OLFM3","SLF1","RIT2","","AC093843.1","LINC02552","KHDRBS2-OT","","GALNTL6","","DACH2","AL110292.1","CACNG3","","CAMK2N2","MARCH11","AC246817.2","PRSS12","AC093912.1","","TENM2","","UNC13C","","RHBDF2","DOCK4","AMIGO2","LINC02607","TACR1","FMN1","FAM107B","BCAS1","RAB3IP","IL1RAP"
"HIF3A","RYR3","MYO1B","APOLD1","CACNA1E","NRN1","IL12RB2","","LINC02232","AC139493.2","SERPINI2","","LINC01414","","AL110292.1","LINC00683","GALNT17","","RAB3A","SLC25A4","SOX14","NPPC","SLC6A5","","DACH1","","EBF3","","AL163541.1","SLC1A3","TRHDE","GCH1","LINC02641","RGS9","LINC00639","FGFR2","IL1RAP","KANK1"
"SLC6A11","SLC1A2","FLI1","VIM","CALB2","","EPHA5","","EGFLAM","LEMD1","AC068722.1","","ANO3","","LINC00683","TSPAN11","PRLR","","HTR4","SERTM1","AL359546.1","AL359546.1","AL356124.1","","GABRA2","","AC022034.3","","AOAH","LRMDA","AC104984.2","AL356737.2","AC090921.1","AC027288.3","RNF220","TMEM144","LHFPL3","LRRK2"
"MAPK4","MAPK4","ABCB1","IFI44","LINC00923","","CRHR2","","AC093765.2","OPRD1","SYTL5","","COL4A4","","SGCD","IL1RAPL2","KIRREL3","","SORCS3","PRR16","PRSS12","NRGN","TENM2","","UNC13C","","SPON1","","LINC01374","RNASET2","LINC01524","GPC5-AS2","AC027288.3","AC016831.1","PLEKHH1","CNP","UST","MATN2"
"ACACB","C1orf61","GRASP","PRKCH","GRIN3A","","PALLD","","LINC02552","AC007091.1","KHDRBS2","","KLHL1","","PTPRO","AL049775.1","DAB1","","SFRP1","EIF1B","GREM2","SPHKAP","KCNN2","","SATB1-AS1","","SLC35F4","","LRMDA","RHBDF2","LINC02607","MAOB","AP001977.1","NR4A3","CNP","ATP10B","PDZD2","KAT2B"
"BMPR1B","WWC1","APOLD1","RNF144B","AC022523.1","","ZFHX3","","AC139493.2","FGF5","MIR137HG","","ASIC2","","SLC66A1L","NTNG1","KCTD16","","AC114284.1","VAMP1","NRGN","CHRNA3","CNTN3","","DPF3","","AC127526.2","","RASGEF1C","LINC01374","PMFBP1","LINC01997","DDC","TXK","ATP10B","ANLN","PLPP4","NRCAM"
"C1orf61","LINC02649","RGS5","ITGA6","PCSK2","","OPRM1","","OPRD1","KCNH5","CACNA1E","","ADGRL2","","HTR7","P2RY1","PLCXD3","","SOX14","CYCS","SPHKAP","HPCA","THSD7A","","DGKB","","MYO16","","RBM47","EPB41L2","DNAJC12","COL5A2","AL024495.1","AC017101.1","PRR5L","SEC14L5","HIP1","ATRNL1"
"COLEC12","ATP1A2","EPSTI1","MYO1B","KCNT2","","MIR137HG","","KCNQ5","CYP26B1","RGS4","","PDE4D","","ONECUT2","ANO3","PCDH7","","GABRA4","RAN","PCBP3","AC246817.2","NPFFR2","","AP001347.1","","MEIS2","","RUNX1","LYN","GPC5-AS2","TRHDE","ACTA2","AL121821.2","FGFR2","PRR5L","OPHN1","AFAP1"
"WDR49","CABLES1","SYNE2","IFI27","NR2F1-AS1","","PTPRO","","KCNH5","GRIN2C","EPHB1","","LMX1B","","AL049775.1","LINC02720","PLEKHA5","","GPR26","CCDC39","NR2F2","AC245187.2","CRTAC1","","GSG1L","","LGI2","","SP100","INPP5D","MAP3K15","ADRA1B","GABRE","EID3","CARNS1","PLEKHH1","DGKG","MMP16"
"CLU","PITPNC1","FN1","SYNE2","SHISAL1","","ADCYAP1","","RASGEF1B","NETO1","RERG","","PDE10A","","AP001978.1","ZNF208","UTRN","","GABRA1","SOX1-OT","CHRNA3","NPAS2","LINC01322","","COL21A1","","LINC02136","","SAT1","RBM47","AC105411.1","PLPPR5","LINC01997","TEC","SEC14L5","MAG","LRRK2","CHST9"
"GLIS3","HIF3A","SP100","ETS1","NRN1","","EPHA5-AS1","","LEMD1","NDST4","GRIA1","","PCSK2","","UNC13C","KCNIP1","FGF12","","ST6GAL2","PNMA1","GRIP2","SOX14","CDH9","","NRP2","","VEPH1","","RIN3","PALD1","HCRTR2","NEK5","RIMBP2","DAPK1","PCSK6","ABCA8","COL11A1","PLPP4"
"WWC1","BCL2","IRAK3","HLA-B","PAM","","UNC5D","","TLL1","ZNF385B","DGKB","","C2","","LINC02720","CNTN3","CDH18","","TAFA1","ATP6V0C","RORB","SOX4","CHRM3","","TCF4","","GABRB2","","ARHGAP24","SRGAP2","ADRA1B","DNAH7","TEC","ACTA2","MAG","CARNS1","APOD","TMEM132C"
"LRIG1","DTNA","PRKCH","FN1","INPP4B","","GRIK3","","SCN1A-AS1","ANKRD18B","VAT1L","","TENM3","","ZMAT4","AC079298.3","LRRTM4","","RYR2","NDUFC1","AC245123.1","TRPC6","DGKB","","LINC00461","","CACNA2D3","","ABCC4","ITPR2","RTL1","TMEM45B","FMN1","NOCT","ABCA8","CLDN11","AFAP1","ABHD2"
"CABLES1","LINC00299","PALMD","BST2","NKAIN2","","GRIN2B","","CDH7","AC104689.2","CDH2","","STXBP5-AS1","","CNTN3","PAPPA","GRIP1","","SCN1A-AS1","UQCR10","NYAP2","AC245123.1","AC013265.1","","RPH3A","","INPP4B","","DENND3","ATP8B4","MAOB","RTL1","MET","WNT9A","COL4A5","PLD1","ARHGAP31","APOD"
"AHCYL1","PHF21B","PARP14","B2M","CPNE4","","CAMK2A","","CHST8","CFAP299","KIF26B","","CHRM2","","IL1RAPL2","AC007938.3","CADM2","","AC007405.1","CHCHD10","SOX4","RASD2","PCDH11Y","","AC005999.2","","STAT4","","MEF2A","MEF2C","GRIP2","CPNE7","AKAP12","RND3","LRP2","TMEM63A","TMEM132C","SLC35F1"
"NHSL1","GRAMD2B","IFI44","MT2A","VWC2L","","AC004083.1","","FGF5","LIMA1","LINC01250","","MIR646HG","","AC011287.1","MGAT4C","KCNJ6","","COL19A1","GHITM","AC245187.2","NR2F2-AS1","ARHGAP18","","AC023480.1","","ESRRG","","PLXDC2","RIN3","NYAP2","CDYL2","AL121821.2","AKAP12","CNTN2","PIP4K2A","CHST9","HIP1"
"SORBS1","GLIS3","RNF144B","MAP3K8","CACNA2D1","","KIAA1549L","","ANKRD18B","ARPP21","KLHL1","","IQCJ-SCHIP1","","MBNL3","LINC02133","GAD1","","MPPED2","DIRAS1","LYPD6","VAV3","NDST3","","PCDH15","","CUX2","","RNASET2","SFMBT2","LINC02641","LINC02082","AP002989.1","PITPNM2","TMEM63A","ITGA2","KAT2B","STK32B"
