"ambig.lowNTx_1vAll","ambig.lowNTx_pw","Astro_1vAll","Astro_pw","Endo.Mural_1vAll","Endo.Mural_pw","Excit_A_1vAll","Excit_A_pw","Excit_B_1vAll","Excit_B_pw","Excit_C_1vAll","Excit_C_pw","Excit_D_1vAll","Excit_D_pw","Excit_E_1vAll","Excit_E_pw","Excit_F_1vAll","Excit_F_pw","Inhib_A_1vAll","Inhib_A_pw","Inhib_B_1vAll","Inhib_B_pw","Inhib_C_1vAll","Inhib_C_pw","Inhib_D_1vAll","Inhib_D_pw","Micro_1vAll","Micro_pw","Neuron.5HT_1vAll","Neuron.5HT_noDDC_1vAll","Neuron.5HT_noDDC_pw","Neuron.5HT_pw","Neuron.ambig_A_1vAll","Neuron.ambig_A_pw","Neuron.ambig_B_1vAll","Neuron.ambig_B_pw","Neuron.ambig_C_1vAll","Neuron.ambig_C_pw","Neuron.ambig_D_1vAll","Neuron.ambig_D_pw","Neuron.mixed_A_1vAll","Neuron.mixed_A_pw","Neuron.mixed_B_1vAll","Neuron.mixed_B_pw","Neuron.NE_1vAll","Neuron.NE_pw","Oligo_A_1vAll","Oligo_A_pw","Oligo_B_1vAll","Oligo_B_pw","OPC_1vAll","OPC_pw"
"","","CABLES1","ATP1A2","RGS5","SLC2A1","MAP3K5","","CBLN1","","CPNE4","","HOXB3","AC136431.1","AC025887.2","CABP1","AC114316.1","AP001978.1","AC092902.4","","GPR26","","NR2F2","RORB","SLC35F4","","SLCO2B1","SLC11A1","LINC02082","SMYD3","","ANGPT1","SYT1","","ERBB4","","PRKAG2","","KCNQ3","","GABRB1","","ATP6AP2","EIF1B","FMN1","RGS9","PCSK6","AC012494.1","SHROOM4","","EPN2","AC009041.2"
"","","LINC00299","ITPKB","SLC2A1","MT2A","LINC01122","","TMEM200A","","HTR7","","ZNF385B","LIMA1","LMO3","CAMK2A","ZMAT4","AL450338.2","KCNIP1","","PRMT8","","NPPC","PRSS12","PCDH7","","SLC11A1","SLCO2B1","HCRTR2","GRM8","","MAOB","NRG1","","AKAP12","","AKAP12","","GALNT13","","XKR6","","STMN3","GHITM","TACR1","AC090921.1","MOBP","TMEM144","FGFR2","","ATP13A4","RAB3IP"
"","","NHSL1","ACACB","IGFBP7","RGS5","IL1RAPL2","","AC007368.1","","LINC01798","","SHROOM3","CRTAC1","GDA","LMO3","DACH2","ADGRG2","GNAL","","JAG1","","AL359546.1","AC246817.2","SV2C","","DLEU1","CSF2RA","NYAP2","EPHA5-AS1","","TMPRSS9","ZMAT4","","NCKAP5","","AL033504.1","","TENM3","","CSMD1","","GOT1","TUBB4B","AC027288.3","AC027288.3","AC004690.2","PRR5L","UGT8","","AC009041.2","IL1RAP"
"","","PITPNC1","LRIG1","ELOVL7","RBPMS","SEMA6D","","GRIK3","","KCNH1","","BARHL1","GRIN2C","LDB2","AL139815.1","AC011306.1","AC013287.1","VWC2L","","EPHA7","","ASIC4","IGSF3","GALNT17","","CSF2RA","AL163541.1","GPC3","ASTN2","","GCHFR","ROBO2","","GUCY1A2","","KCNQ5","","UNC13C","","OPCML","","RTL8C","CYCS","RIMBP2","ARHGAP36","MOG","FGFR2","MAN2A1","","IL1RAP","KAT2B"
"","","MAPK4","GRAMD2B","RBPMS","ELOVL7","CNGB1","","KLHL29","","CACNA1E","","LINC01090","KCNH5","CAMK2A","MAL2","TSPAN18","AC079298.3","ADARB2","","TGFBR2","","PCBP3","SOX14","DAB1","","AL163541.1","ARHGAP25","AC104984.2","ADARB2","","NEK5","SOX5","","LHFPL3","","NEAT1","","GRM5","","NRG3","","ARL6IP5","RRAGA","CHGB","FMN1","FOLH1","CDK18","GPM6B","","XYLT1","KANK1"
"","","GFAP","C1orf61","PARP14","ARHGAP29","CDH10","","OPRM1","","KCNT2","","AC067956.1","AC139493.2","NELL2","CHN1","CNTN3","SLC66A1L","INHBA-AS1","","AC025809.1","","AC246817.2","SYNPR","KLF12","","ARHGAP25","DLEU1","LINC02607","SLC35F3","","CDYL2","AL033504.1","","DLGAP1","","ARHGAP24","","TMEFF2","","FAM155A","","YWHAB","STMN3","NR4A3","ZNF331","TMEM63A","PLD1","DOCK10","","PDZD2","ABHD2"
"","","SLC1A2","MAPK4","THSD4","WWTR1","SORCS3","","EPHA5","","LINC02223","","ZIC2","OPRD1","OLFM1","NGEF","AL450338.2","LINC02133","GSG1L","","SEMA5A","","LYPD6","GREM2","SORCS1","","ALOX5","ALOX5","STK32A","SYT1","","AMIGO2","SV2B","","KHDRBS2-OT","","GPC6","","MACROD2","","KIAA1217","","UQCR10","ATP6AP2","TXK","AC017101.1","AC108721.2","SYNJ2","SYNJ2","","LRRK2","PLPP4"
"","","LINC02649","CABLES1","MT2A","UACA","SLIT2","","RIT2","","KIT","","KCNQ5","MIR34AHG","PKN2-AS1","CHSY3","KCNIP1","NTNG1","EBF3","","LYPD1","","PRSS12","AC245187.2","PLCB1","","PALD1","ALPK1","LINC01524","ST8SIA6","","TMEM45B","NETO1","","CAMKMT","","FAM155A","","FIGN","","LINGO2","","MAP1LC3B","SPRYD3","AKAP12","AC016831.1","SHROOM4","CNDP1","DOCK5","","DGKG","AFAP1"
"","","ACACB","PHF21B","XAF1","B2M","GRM1","","KCTD1","","CEP112","","TLL1","RASGRP1","ENC1","GDA","LUZP2","TSPAN11","GAD2","","NXPH1","","IGSF3","SOX4","LRRTM4","","RBM47","PALD1","AMIGO2","CHST11","","AC105411.1","UNC5C","","NDST4","","LRP1B","","CSMD1","","LRRC7","","ARL4C","SELENOM","AP002989.1","MET","COL4A5","MYO1E","GAB1","","OPHN1","LHFPL3"
"","","C1orf61","APOE","ARHGAP29","LAMA2","KLHL1","","GRIN2B","","LINC02698","","AC104689.2","LINC01811","CADPS2","CDKL5","GASK1B","P2RY1","LINGO2","","COL19A1","","SOX14","LYPD6","KIRREL3","","RIN3","RIN3","PWWP3B","CACNA2D1","","LINC02082","DGKG","","SEMA3E","","RIMBP2","","CSMD3","","NRXN1","","CYCS","RNASEK","TFAP2B","DAPK1","DOCK5","PLEKHH1","SLC24A2","","MMP16","TMEM132C"
"","","LRIG1","SLC1A2","TGFBR2","THSD4","KIF26B","","UNC5D","","AC022523.1","","OPRD1","ANKRD18B","ATP2B1","MPP7","HTR7","KCNIP1","HS6ST3","","MPPED2","","NYAP2","VAV3","PDE1C","","ST6GAL1","RBM47","PMFBP1","RIMS2","","COL5A2","RGS6","","RGS7","","PHACTR1","","PLD5","","BRINP3","","BNIP3","TUBB","AL024495.1","FNDC3B","ABCA8","PIP4K2A","SLAIN1","","CHST9","APOD"
"","","BMPR1B","WDR49","WWTR1","GPCPD1","CA10","","ONECUT2","","RBMS1","","CDHR3","AC119674.1","KCNQ5","GABRA4","NTNG1","LINC00683","GAD1","","TSHZ3","","TSPAN18","AC245123.1","FGF12","","ALPK1","ST6GAL1","BMPR1B","RIMBP2","","RTL1","CDHR3","","ADAMTS19","","NRXN3","","DPP10","","AGBL4","","TUBB","DRAP1","PRAG1","EID3","PLD1","ITGA2","TMEM165","","PLPP4","LRRK2"
"","","COLEC12","HIF3A","TACC1","TACC1","KHDRBS2-OT","","MIR137HG","","PDE3A","","GRIK1","RAB37","CABP1","SSX2IP","PTPRO","AL049775.1","KLHL13","","SLC32A1","","AC016717.2","LYPD6B","GRIA4","","MEF2C","CD74","LMX1B","GRIP1","","FJX1","DLGAP1","","NEBL","","KCNH7","","HS6ST3","","LINC01414","","ALDOC","NDUFB11","AC090921.1","TEC","MYO1E","GLDN","PLCL1","","KCNMB2","SLC35F1"
"","","ITPKB","BCL6","MYH9","MYH9","RYR3","","GNG4","","OLFM3","","THSD7B","SNTG2","NGEF","PKN2-AS1","TSPAN11","ANO3","AC023480.1","","NRXN3","","SPHKAP","CHRNA3","RGS7","","AOAH","AOAH","MAOB","ADGRV1","","GCH1","NDST4","","FNDC3A","","CNTN5","","SPHKAP","","ANKRD30BL","","GHITM","SLC25A4","SCUBE1","PITPNM2","ANLN","QKI","FMNL2","","RAB3IP","MTSS2"
"","","SPARCL1","NPL","LAMA2","SEC14L1","DGKB","","AC011246.1","","PCSK2","","CHST8","NEUROD2","GRIN2A","NELL2","STK26","EFNA5","DGKB","","SLC5A8","","PDZRN3","NR2F2-AS1","TENM1","","CD74","ENTPD1","ADRA1B","HS6ST3","","GPC5-AS2","ARHGAP24","","EPHA6","","NRG1","","CACNA2D1","","GRID2","","MOAP1","ARL1","LINC02641","NOCT","ITGA2","FOLH1","CDK18","","KAT2B","NRCAM"
"","","PHF21B","LINC00299","UACA","PIK3R3","CDH12","","AC004083.1","","LINC00923","","SLC17A7","TLL1","CHN1","MRPS30-DT","LINC00683","CNTN3","GRIA4","","WLS","","SOX4","SPHKAP","KCNIP4","","LINC01374","RASGEF1C","SLC22A3","SLC2A13","","HCRTR2","ST6GALNAC5","","GRM1","","DPP6","","PDE4D","","SMYD3","","EIF1B","SLC25A6","LINC02150","TXK","PLEKHH1","CNP","RAPGEF5","","MATN2","PDZD2"
"","","GRAMD2B","ABCA1","B2M","LINC00472","RGS7","","LHFPL3","","GRIN3A","","RASGEF1B","CNTNAP3B","PTK2B","KCNK1","KCNMB2","IL1RAPL2","KCTD16","","GRIN2A","","AC245187.2","HPCA","NR2F1-AS1","","ENTPD1","RUNX1","PDGFD","LRRTM4","","MYO5B","FHOD3","","FOXP2","","ANO4","","SGCD","","GRIA1","","SRP14","MOAP1","ABCB11","MAMLD1","CTNNA3","AC004690.2","FRMD4B","","HIF3A","HIP1R"
"","","WDR49","COLEC12","TIMP3","FLI1","GPC6","","KCNC2","","MYLIP","","PVT1","LEMD1","RASGRP1","PKIG","AC079298.3","TENT5A","MSRA","","CACNA2D3","","GREM2","LAMB1","AC025159.1","","SP100","SAT1","MAP3K15","DLGAP1","","TMEM87B","RBFOX1","","KHDRBS2","","KIF26B","","NR2F1-AS1","","STXBP5-AS1","","SPRYD3","POLR2K","TH","KCNG3","GLDN","CLDN11","PEX5L","","HIP1","STK32B"
"","","NPL","AHCYL1","NAMPT","CFLAR","HS3ST2","","GALNTL6","","KLHL29","","GRIN2C","CYP26B1","GABRA4","","AL110292.1","MGAT4C","PLEKHA5","","AC117461.1","","ZMAT4","AL390957.1","GRIP1","","EPSTI1","ABCC4","LINC01956","PITPNC1","","STK32A","DOK6","","GPC6","","ELAVL4","","GABRG3","","MEG8","","SELENOW","ATP6V1G2","DBH","AKAP12","GAB1","AC108721.2","LMCD1-AS1","","RAB31","MMP16"
"","","RYR3","ACOT11","LHFPL6","HIPK3","MIR137HG","","ZFHX3","","HCRTR2","","EGFLAM","CDHR3","LMO4","","AL049775.1","GABRG1","CADPS2","","ADCY2","","AC245123.1","TRPC6","ALK","","RASGEF1C","LRMDA","GPC5-AS2","EPHA6","","DNAH7","SAMD5","","DGKB","","KCNIP4","","ADGRL2","","KSR2","","ATP5MC3","NAP1L5","PAWR","PAWR","LRP2","PLP1","DLG1","","LHFPL3","CACNG4"
